,unidad_academica,nro_inscripcion,carrera,regular,cnt_readmisiones,calidad,fecha_ingreso_alumno,anio_plan_estudios
0,FCEQN,FCEQN-877,147,S,1.0,A,04/26/2010,2000.0
1,FCEQN,FCEQN-1294,104,N,2.0,A,05/02/2005,2005.0
2,FCEQN,FCEQN-1351,170,N,2.0,P,12/01/2007,2012.0
3,FCEQN,FCEQN-1363,101,N,2.0,A,12/15/2010,2000.0
4,FCEQN,FCEQN-1367,147,S,1.0,A,05/03/2004,2012.0
5,FCEQN,1527,SAC,N,0.0,P,12/19/2012,2009.0
6,FCEQN,FCEQN-1532,108,S,0.0,A,12/21/2011,2012.0
7,FCEQN,FCEQN-1618,600,N,1.0,P,12/04/2010,2000.0
8,FCEQN,FCEQN-1647,105,S,2.0,A,05/07/2013,2011.0
9,FCEQN,FCEQN-1665,601,S,0.0,P,12/10/2014,2014.0
10,FCEQN,FCEQN-1751,143,S,0.0,A,12/13/2010,2006.0
11,FCEQN,FCEQN-1549,601,N,0.0,P,,2007.0
12,FCEQN,FCEQN-1829,104,N,0.0,A,04/27/2011,2003.0
13,FCEQN,FCEQN-826,105,N,1.0,A,12/04/2011,2007.0
14,FCEQN,FCEQN-2150,114,S,0.0,A,05/15/2010,2004.0
15,FCEQN,1767,600,N,2,P,02/17/2014,2011.0
16,FCEQN,FCEQN-1056,314,N,2.0,P,12/06/2011,2014.0
17,FCEQN,5200,114,N,0.0,P,02/16/2010,2000.0
18,FCEQN,1576,111,S,2.0,A,12/05/2012,2008.0
19,FCEQN,FCEQN-1283,104,S,0.0,P,03/03/2007,2003.0
20,FCEQN,FCEQN-600,103,N,1.0,A,04/01/2013,2011.0
21,FCEQN,FCEQN-1431,108,N,2.0,A,02/17/2015,2000.0
22,FCEQN,FCEQN-888,SAC,N,1.0,P,12/17/2012,2010.0
23,FCEQN,FCEQN-758,106,S,1,P,03/26/2014,2011.0
24,FCEQN,FCEQN-1181,172,S,1.0,A,02/02/2014,
25,FCEQN,1666,SAC,S,1.0,A,03/09/2013,2004.0
26,FCEQN,1701,105,S,0,A,11/27/2012,
27,FCEQN,1451,172,N,0.0,P,02/13/2013,2000.0
28,FCEQN,5107,102,S,1.0,P,04/23/2011,2005.0
29,FCEQN,350,111,S,2.0,A,03/12/2012,2010.0
30,FCEQN,FCEQN-2318,103,S,1.0,P,04/29/2013,
31,FCEQN,FCEQN-2411,172,N,1.0,P,04/06/2009,2010.0
32,FCEQN,FCEQN-2546,,N,1.0,P,05/15/2011,2006.0
33,FCEQN,FCEQN-2645,172,N,1.0,P,12/20/2010,2009.0
34,FCEQN,4772,314,N,0.0,P,12/21/2014,2006.0
35,FCEQN,FCEQN-3005,104,N,0.0,P,03/25/2012,2008.0
36,FCEQN,FCEQN-3034,104,N,0.0,P,02/01/2012,2004.0
37,FCEQN,FCEQN-3036,601,N,2.0,A,02/18/2015,2010.0
38,FCEQN,FCEQN-3162,103,S,1,P,04/11/2012,2012.0
39,FCEQN,FCEQN-3240,172,S,1.0,A,12/09/2014,2003.0
40,FCEQN,FCEQN-895,600,S,1.0,P,04/14/2009,2014.0
41,FCEQN,FCEQN-1810,108,N,2.0,P,01/30/2012,2007.0
42,FCEQN,FCEQN-1992,172,S,1.0,A,05/03/2004,2005.0
43,FCEQN,FCEQN-1777,102,S,1.0,A,03/17/2015,2004.0
44,FCEQN,1764,,S,1.0,A,12/14/2010,2011.0
45,FCEQN,FCEQN-2270,108,S,2.0,P,12/10/2007,2003.0
46,FCEQN,FCEQN-1213,147,S,2.0,P,12/17/2014,2005.0
47,FCEQN,FCEQN-1963,143,S,2.0,P,12/12/2010,
48,FCEQN,FCEQN-1165,105,S,0.0,A,03/07/2012,2011.0
49,FCEQN,1772,102,S,1.0,A,12/27/2010,2005.0
50,FCEQN,FCEQN-3296,143,S,2.0,P,04/13/2011,2005.0
51,FCEQN,FCEQN-3384,104,S,1.0,P,03/29/2009,2000.0
52,FCEQN,FCEQN-3400,105,S,2.0,A,02/24/2015,2008.0
53,FCEQN,FCEQN-3456,314,S,1.0,P,03/26/2014,2000.0
54,FCEQN,FCEQN-3467,172,S,1.0,A,03/15/2009,
55,FCEQN,FCEQN-3511,172,N,0.0,P,01/30/2011,2007.0
56,FCEQN,FCEQN-3529,102,N,1,P,12/20/2006,2010.0
57,FCEQN,FCEQN-3578,104,N,2.0,A,12/18/2006,2011.0
58,FCEQN,FCEQN-3607,143,S,1.0,P,12/28/2010,2007.0
59,FCEQN,FCEQN-3657,106,S,1,P,12/29/2014,2004.0
60,FCEQN,FCEQN-3760,101,N,1.0,P,03/01/2011,2006.0
61,FCEQN,5853,,N,2.0,A,12/07/2014,2004.0
62,FCEQN,FCEQN-3781,314,N,2.0,A,06/08/2013,2010.0
63,FCEQN,FCEQN-3786,108,N,1,P,02/19/2003,2008.0
64,FCEQN,FCEQN-1236,,S,1.0,A,02/07/2006,2000.0
65,FCEQN,FCEQN-3887,108,N,2,P,12/02/2014,2004.0
66,FCEQN,FCEQN-3866,111,N,0.0,P,12/10/2013,2006.0
67,FCEQN,981,172,S,0.0,A,04/06/2015,2008.0
68,FCEQN,1711,601,N,2,P,11/26/2012,2000.0
69,FCEQN,3260,105,S,0.0,A,02/01/2014,2005.0
70,FCEQN,5222,314,S,1.0,P,02/27/2012,2004.0
71,FCEQN,5060,104,N,2.0,P,02/18/2015,2003.0
72,FCEQN,FCEQN-3993,105,S,1.0,A,03/01/2015,2008.0
73,FCEQN,459,108,N,0.0,A,12/12/2012,
74,FCEQN,840,108,S,2.0,A,12/17/2011,2008.0
75,FCEQN,1488,,N,1.0,A,04/08/2009,2008.0
76,FCEQN,1822,108,S,1.0,A,04/23/2013,2012.0
77,FCEQN,3428,601,S,0.0,P,12/17/2007,2000.0
78,FCEQN,3682,143,S,2.0,P,12/01/2013,2000.0
79,FCEQN,4305,108,N,2.0,A,12/12/2007,2005.0
80,FCEQN,4865,108,S,1.0,P,12/06/2014,2006.0
81,FCEQN,6068,114,S,2.0,P,11/27/2012,2004.0
82,FCEQN,6816,143,N,1.0,P,02/04/2014,
83,FCEQN,FCEQN-2395,170,S,0.0,A,05/14/2005,2000.0
84,FCEQN,FCEQN-1371,172,S,1.0,P,12/10/2013,2010.0
85,FCEQN,FCEQN-2443,105,S,0.0,P,04/23/2011,2006.0
86,FCEQN,FCEQN-2771,114,N,1.0,P,02/18/2014,2011.0
87,FCEQN,FCEQN-731,103,S,1.0,P,03/18/2014,2000.0
88,FCEQN,FCEQN-2931,105,S,2.0,P,03/11/2014,2010.0
89,FCEQN,1674,114,N,2,P,04/05/2009,2010.0
90,FCEQN,1736,106,S,0,A,12/02/2012,
91,FCEQN,FCEQN-2941,170,N,2,P,04/29/2013,2006.0
92,FCEQN,FCEQN-1681,,S,1.0,A,04/06/2009,2010.0
93,FCEQN,1687,170,N,1,P,03/02/2011,2014.0
94,FCEQN,FCEQN-2615,106,S,1.0,A,02/10/1998,2014.0
95,FCEQN,944,143,N,1,P,12/19/2010,2006.0
96,FCEQN,1024,172,S,2.0,P,04/25/2011,2011.0
97,FCEQN,FCEQN-2296,102,S,0.0,A,12/18/2005,2005.0
98,FCEQN,1439,111,N,1.0,P,02/06/2013,
99,FCEQN,1382,143,N,1.0,A,03/09/2014,2005.0
100,FCEQN,FCEQN-2777,105,S,1.0,A,12/16/2012,2004.0
101,FCEQN,FCEQN-3390,147,S,1.0,P,02/28/2015,2009.0
102,FCEQN,FCEQN-1755,114,S,0,A,04/19/2014,2006.0
103,FCEQN,FCEQN-2369,103,S,2.0,A,04/08/2009,2000.0
104,FCEQN,FCEQN-1116,601,N,0.0,P,05/07/2011,2014.0
105,FCEQN,FCEQN-778,111,S,1.0,P,02/07/2012,2008.0
106,FCEQN,FCEQN-1168,,N,2.0,P,11/27/2012,2006.0
107,FCEQN,2920,105,N,0,A,04/21/2012,2014.0
108,FCEQN,FCEQN-337,103,S,2.0,P,04/01/2013,2003.0
109,FCEQN,6960,601,S,1.0,A,02/11/2012,2009.0
110,FCEQN,5689,105,N,1.0,P,02/22/2014,2011.0
111,FCEQN,FCEQN-941,103,S,2.0,P,04/09/2012,2010.0
112,FCEQN,FCEQN-3342,108,S,2,P,09/08/2009,2014.0
113,FCEQN,FCEQN-3367,101,N,1,P,03/05/2014,2014.0
114,FCEQN,FCEQN-3379,314,N,1,P,04/15/2013,2012.0
115,FCEQN,FCEQN-3406,314,S,1,P,02/25/2007,2003.0
116,FCEQN,FCEQN-3730,143,S,1.0,A,06/08/2015,2008.0
117,FCEQN,FCEQN-1434,170,N,0.0,P,02/05/2012,2014.0
118,FCEQN,FCEQN-2309,106,S,1.0,P,12/02/2007,2010.0
119,FCEQN,FCEQN-4149,172,S,1,P,04/11/2015,2010.0
120,FCEQN,FCEQN-4182,601,N,2,P,02/08/2012,2011.0
121,FCEQN,FCEQN-4192,601,S,1.0,A,04/08/2015,2007.0
122,FCEQN,FCEQN-4204,105,S,1.0,A,03/03/2014,2011.0
123,FCEQN,FCEQN-4242,,S,0.0,A,04/01/2013,2003.0
124,FCEQN,FCEQN-4250,601,S,1,P,04/30/2014,2010.0
125,FCEQN,FCEQN-4269,143,S,1.0,A,05/18/2009,2011.0
126,FCEQN,FCEQN-4284,147,N,1.0,P,12/14/2014,
127,FCEQN,FCEQN-4303,314,S,2.0,A,03/03/2007,2003.0
