legajo,plan,fecha_ingreso,cant_inscripciones,situacion_est
2,1988,03/31/2000,0,P
13,1999,03/31/2000,0,P
14,1999,03/31/2000,1,P
15,1988,03/31/2000,0,P
16,1999,03/31/2000,0,P
17,1988,03/31/2000,0,P
21,1988,03/31/2000,1,P
22,1999,03/31/2000,1,P
25,1988,03/31/2000,0,P
27,1988,03/31/2000,0,P
30,1988,03/31/2000,0,P
31,1988,03/31/2000,0,P
32,1988,03/31/2000,0,P
33,1988,03/31/2000,0,P
35,1988,03/31/2000,0,P
36,1999,03/31/2000,0,P
39,1988,03/31/2000,0,P
40,1988,03/31/2000,0,P
41,1988,03/31/2000,0,P
42,1988,03/31/2000,0,P
43,1988,03/31/2000,0,P
44,1988,03/31/2000,0,P
45,1988,03/31/2000,0,P
47,1988,03/31/2000,0,P
48,1988,03/31/2000,0,P
49,1988,03/31/2000,0,P
50,1988,03/31/2000,0,P
51,1988,03/31/2000,0,P
52,1988,03/31/2000,0,P
53,1988,03/31/2000,0,P
54,1988,03/31/2000,0,P
55,1988,03/31/2000,0,P
56,1988,03/31/2000,1,P
57,1988,03/31/2000,0,P
59,1988,03/31/2000,0,P
60,1988,03/31/2000,0,P
61,1988,03/31/2000,0,P
62,1999,03/31/2000,0,P
63,1988,03/31/2000,0,P
64,1999,03/31/2000,1,P
65,1988,03/31/2000,0,P
66,1988,03/31/2000,0,P
67,1988,03/31/2000,0,P
68,1988,03/31/2000,0,P
69,1988,03/31/2000,0,P
70,1988,03/31/2000,0,P
71,1988,03/31/2000,0,P
72,1988,03/31/2000,0,P
73,1988,03/31/2000,0,P
74,1988,03/31/2000,0,P
75,1988,03/31/2000,0,P
76,1988,03/31/2000,0,P
77,1988,03/31/2000,0,P
78,1988,03/31/2000,0,P
79,1988,03/31/2000,0,P
80,1988,03/31/2000,0,P
81,1988,03/31/2000,0,P
82,1988,03/31/2000,0,P
83,1988,03/31/2000,0,P
84,1988,03/31/2000,1,P
85,1988,04/04/2000,0,P
86,1988,04/04/2000,1,P
87,1988,04/04/2000,0,P
88,1988,04/04/2000,0,P
89,1988,03/31/2000,0,P
90,1988,03/31/2000,0,P
91,1988,03/31/2000,0,P
92,1999,03/31/2000,0,P
93,1988,03/31/2000,0,P
94,1988,03/31/2000,0,P
95,1988,03/31/2000,0,P
96,1988,03/31/2000,0,P
97,1988,03/31/2000,0,P
98,1999,03/31/2000,2,P
101,1988,03/31/2000,0,P
102,1988,04/27/2000,0,P
103,1988,07/25/2000,0,P
104,1988,07/25/2000,0,P
105,1988,07/25/2000,0,P
106,1988,,0,P
107,1988,08/23/2000,0,P
108,1988,08/25/2000,0,P
110,1999,02/21/2001,0,P
112,1999,02/21/2001,0,P
114,1999,02/21/2001,1,P
116,1999,02/21/2001,1,P
117,1999,02/21/2001,0,P
119,1999,02/22/2001,0,P
120,1999,02/22/2001,0,P
121,1999,02/22/2001,0,P
122,1999,02/22/2001,0,P
123,1999,02/22/2001,0,P
