legajo,est_civil,tipo_residencia,sit_lab_alum,sit_lab_padres,estudios_padres
2,Soltero,Res. Univ.,No Trabaja,Trabaja,No Posee
13,Soltero,,Trabaja,Trabaja,Prim.completa
14,Soltero,,Trabaja,Trabaja,Prim.completa
15,Soltero,otra Situación,Trabaja,,
16,Soltero,otra Situación,Trabaja,No Trabaja,Prim.completa
17,Soltero,otra Situación,No Trabaja,Trabaja,Prim.completa
21,Soltero,otra Situación,No Trabaja,Trabaja,Prim.completa
22,Soltero,otra Situación,Trabaja,Trabaja,Univ. o Sup.completo
25,Soltero,otra Situación,No Trabaja,Trabaja,Univ. o Sup.completo
27,Soltero,,,,
30,Casado,otra Situación,Trabaja,Trabaja,Prim.completa
31,Soltero,otra Situación,Trabaja,No Trabaja,No Posee
32,Soltero,,Trabaja,Trabaja,Sec.completo
33,Soltero,otra Situación,Trabaja,No Trabaja,Prim.completa
35,Soltero,,No Trabaja,Trabaja,Prim.completa
36,Soltero,Res. Univ.,No Trabaja,Trabaja,Prim.completa
39,Soltero,otra Situación,Trabaja,Trabaja,Prim.completa
40,Soltero,,Trabaja,,
41,Soltero,otra Situación,Trabaja,Trabaja,Prim.completa
42,Soltero,otra Situación,Trabaja,No Trabaja,
43,Soltero,otra Situación,No Trabaja,No Trabaja,Prim.completa
44,Casado,otra Situación,Trabaja,Trabaja,No Posee
45,Soltero,otra Situación,No Trabaja,Trabaja,Prim.completa
47,Divorciado,otra Situación,Trabaja,Trabaja,Sec.completo
48,Soltero,,Trabaja,Trabaja,Prim.completa
49,Soltero,,Trabaja,,
50,Soltero,otra Situación,Trabaja,Trabaja,Sec.completo
51,Soltero,otra Situación,Trabaja,Trabaja,Prim.completa
52,Soltero,otra Situación,Trabaja,Trabaja,No Posee
53,Soltero,otra Situación,Trabaja,No Trabaja,No Posee
54,Soltero,,No Trabaja,No Trabaja,No Posee
55,Soltero,otra Situación,No Trabaja,Trabaja,No Posee
56,Soltero,otra Situación,No Trabaja,Trabaja,Prim.completa
57,Soltero,Res. Univ.,No Trabaja,Trabaja,Prim.completa
59,Soltero,otra Situación,No Trabaja,Trabaja,Prim.completa
60,Soltero,otra Situación,Trabaja,Trabaja,No Posee
61,Divorciado,otra Situación,Trabaja,Trabaja,Sec.completo
62,Soltero,Res. Univ.,Trabaja,Trabaja,Prim.completa
63,Soltero,Res. Univ.,No Trabaja,Trabaja,Prim.completa
64,Soltero,Res. Univ.,Trabaja,Trabaja,Prim.completa
65,Soltero,otra Situación,Trabaja,Trabaja,Sec.completo
66,Soltero,otra Situación,No Trabaja,Trabaja,Prim.completa
67,Soltero,otra Situación,No Trabaja,Trabaja,Sec.completo
